Property,Alternate Name,Description,Address,Historic District,Construction Date,the_geom,Longitude,Latitude,Photo,Images,Additional Information
Worthen Bank Building,K A T V Building,"The Worthen Bank Company was built in 1928 in the Neoclassical style with some Art Deco details. The architect was George Mann.  The structure was listed on the National Register of Historic Places on 11/13/1986.  Worthen Bank occupied this building until 1969 when, having become the largest bank in the state of Arkansas, they moved to a new tower on the West Capitol Avenue.",401  S Main,,1928,POINT (-92.270726758012 34.744987674026),-92.27072676,34.74498767,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0206/PU0206.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0206/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0206/PU0206_ai.pdf
Bragg Guesthouse,Bragg Cottage,"The Bragg Guesthouse, also known as the Bragg Cottage, located at 1615 Cumberland Street, is a Colonial Revival style house. Listed in the National Register of Historic Places in 4/4/2001, it was constructed in 1869 for Richard Bragg.  This guesthouse was constructed out of weatherboard and the Bragg family had originally used it as a cypress barn.  The house was later made into servant’s quarters and then finally into a guesthouse.",1615  S Cumberland,,1869,POINT (-92.270428556655 34.732286503423),-92.27042856,34.7322865,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9973/PU9973.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9973/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9973/PU9973_ai.pdf
Deane House,Neel-Deane House,"Built around 1888, the Deane House was thought to be one of the first houses in Little Rock to combine Queen Anne and Neo-Classical architecture. It belonged to Colonel G.A.A. Deane. In 1891 he moved his family from Kansas to Arkansas after being named land commissioner, a position he held until his death in 1919. The structure was listed on the National Register of Historic Places on 9/5/1975.",1701  S Arch,Governor's Mansion Historic District,1900,POINT (-92.279166733141 34.73302437469),-92.27916673,34.73302437,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1460/PU1460.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1460/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1460/PU1460_ai.pdf
Arkansas Teachers Association Headquarters Building,Shopping Center At 1306 Wright Avenue,"The Arkansas Teachers Association Headquarters Building is located at 1306 Wright Avenue and the Professional Services Building is located at 1304 Wright Ave.  They were both designed by the architectural firm of George Henry Tschiemer & Associates of Pine Bluff, Arkansas, in the early 1960s. The two lots along Wright Avenue were originally purchased from the Little Rock School District in early 1961. Both buildings were constructed by the Smith Brothers General Contractors of North Little Rock, Arkansas, and completed by 1965.  They are listed for their association with the Civil-Rights movement in Little Rock and the State during the 1960’s.",1306 Wright Avenue,,1965,POINT (-92.288881456772 34.73242578277),-92.28888146,34.73242578,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU6757/PU6757.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU6757/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU6757/PU6757_ai.pdf
Fordyce House,Egyptian Revival House,"With its Egyptian Revival architectural style, the Fordyce-England House is considered to be the only true Egyptian Revival style structure in the state. The structure was listed on the National Register of Historic Places on 8/9/1975.  Designed around 1904 by Charles L. Thompson, the house was built for Colonel John R. Fordyce. He was a well-known engineer and inventor. The Fordyce House is important because of its architectural structure and the man who lived there for over twenty years.",2115  S Broadway,Governor's Mansion Historic District,1904,POINT (-92.278310605426 34.728041038042),-92.27831061,34.72804104,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1410/PU1410.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1410/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1410/PU1410_ai.pdf
Ward-Hays House,"Ward, Zeb House","The two and one-half story Ward-Hays House was built about 1886 by Zeb Ward for his eldest son. Ward built five houses, all in the same block, for his five sons. Only three of these are still standing. John Q. Hays, second owner of the house, was recognized as an outstanding leader in the railroad system and was nationally honored for his service with the Missouri Pacific Railroad.  The structure was listed on the National Register of Historic Places on 8/11/1975.",1008  W 2nd,,1886,POINT (-92.281717970113 34.74884839297),-92.28171797,34.74884839,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3122/PU3122.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3122/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3122/PU3122_ai.pdf
Terry-Jung House,William L. Terry House,"A representative of the Italianate style is the Terry-Jung House at 1422 Scott Street which was listed on the National Register 1-1-76. Constructed in 1885, the house is an L-shaped, two-story frame structure with a truncated hipped roof and cross gables. The front gable bay features a three-part bay window on the first floor and a pair of double-hung windows with a decorative wood hood. It was the home to William Leake Terry, lawyer and politician.  Terry was instrumental in the formation of MacArthur Park and Fort Logan Roots.",1422  S Scott,Macarthur Park Historic District,1885,POINT (-92.272092143817 34.734470760907),-92.27209214,34.73447076,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2937/PU2937.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2937/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2937/PU2937_ai.pdf
"Porter, Lamar Athletic Field",,"The Lamar Porter Athletic Field is a 1936 Works Progress Administration (WPA) built baseball field.  It was listed in the National Register of Historic Places in 12/6/1990.   The outstanding Baltimore Orioles third baseman and Hall of Fame member Brooks Robinson, played at Lamar Porter.",3200  W 7th,Stifft Station Historic District,1936,POINT (-92.308298188138 34.745994357452),-92.30829819,34.74599436,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3310/PU3310.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3310/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3310/PU3310_ai.pdf
Pfeiffer Brothers Department Store,Arkansas Carpet & Furniture Co,"Built in two stages at the turn of the 20th century, the Pfeifer Brothers Department Store building is one of only four buildings remaining on Main Street in Little Rock's central business district that date from 1900 or before and still retain much of their original exterior fabric. The structure was listed on the National Register of Historic Places 5/18/2000.  The building was constructed by Henry and Harry S. Lasker, brothers who were partners in several business ventures, including real estate development and it was owned by their descendants until 1991.",524  S Main,Capitol-Main Historic District,1898,POINT (-92.271465960582 34.743378568306),-92.27146596,34.74337857,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0232/PU0232.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0232/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0232/PU0232_ai.pdf
Sanders House,,"The Sanders House, located at 2100 Gaines Street, is a classic example of a Colonial Revival style house. Listed in the National Register of Historic Places in 12/22/1982, it was designed by architect Theo Sanders and constructed in 1917. A terra-cotta gable roof caps this elegantly simple two-story, brown brick home. Two Tuscan pillars decorate the front entryway as they hold up an arched extended covering.",2100  S Gaines,Governor's Mansion Historic District,1917,POINT (-92.2814011647 34.728610960207),-92.28140116,34.72861096,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1628/PU1628.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1628/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1628/PU1628_ai.pdf
Mt Zion Baptist Church,,"Exhibiting a subtle Prairie School influence on the exterior, the Mount Zion Baptist Church is sited at 900 Cross sheet and is exceptional for the elaborate interior where its members have worshipped since the building's completion in 1926. The Mount Zion congregation was formed in 1877 in an effort to provide an institution for blacks who would facilitate not only religious but educational and economic adjustment to their status as freedmen. The structure was listed on the National Register of Historic Places on 3/27/1987.",900  S Cross,,1926,POINT (-92.285424901106 34.741524305326),-92.2854249,34.74152431,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3565/PU3565.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3565/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3565/PU3565_ai.pdf
Remmel Apartments,Remmel Duplex #3,"Another multi-family dwelling built for H.L. Remmell in 1917. Thompson and Harding used Craftsman architect to design a multi-family dwelling that would be compatible to the single-family neighborhood. The structure uses texturalism through the use of stucco, brick and pseudo half-timbering. The structure was listed on the National Register of Historic Places on 12/22/1982.",1708  S Spring,Governor's Mansion Historic District,1917,POINT (-92.277341239167 34.732507396324),-92.27734124,34.7325074,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1275/PU1275.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1275/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1275/PU1275_ai.pdf
Oakland Cemetery,Oakland-Fraternal Cemetery,"The Oakland-Fraternal Cemetery is located at 2101 Barber Street.  Listed in the National Register of Historic Places in 4/20/2010, it was designed by architects James Tunnah, Renton James, William L. Funston, Julius A. Viquesney, Edward Monhan, and Richard Steinert and constructed in 1862.  This cemetary has seven cemeteries in total which include the Fraternal Cemetery, Oakland Cemetery, the B’Nai Israel Reformed Jewish Cemetery, the National Cemetery, the Augudas Achim Orthodox Jewish Cemetery, and two Confederate cemeteries.  This 92 acre cemetery includes over 10,000 sculptures and monuments.",2101  Barber,,1862,POINT (-92.258281219559 34.728661108362),-92.25828122,34.72866111,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5892/PU5892.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5892/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5892/PU5892_ai.pdf
Rogers House,,A mix of Craftsman and Georgian Revival style this 1914 house is located in a landmark in the Governor’s Mansion’s neighborhood. A recognizable feature of the house is a formal Georgian Revival semi-circular portico supported by four fluted Ionic columns on attic bases with Ionic capital responds flanking the door.  The structure was listed on the National Register of Historic Places on 12/22/1982.,400  W 18th,Governor's Mansion Historic District,1914,POINT (-92.277487132443 34.732278958578),-92.27748713,34.73227896,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1276/PU1276.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1276/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1276/PU1276_ai.pdf
Angelo Marre House,Villa Marre,"The Angelo Marre House, locally known as Villa Marre, at 1321 Scott Street, is an Italianate Victorian style. Listed in the National Register of Historic Places in 6/15/1970, it was constructed between September 1881 and December 1882.  This large two-story home is embellished with intricate stone detailing.  Built by saloonkeeper Angelo Marre, the Villa Marre has been home to two politicians, Arkansas Governor Jeff Davis and Arkansas Attorney-General Judge Edgar Burton Kinsworthy. The house became a popular icon as the Sugarbaker House on T.V.’s Designing Women.",1321  S Scott,Macarthur Park Historic District,1882,POINT (-92.271286824642 34.735362805909),-92.27128682,34.73536281,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2909/PU2909.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2909/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2909/PU2909_ai.pdf
Lincoln Building,,"The Lincoln Building, at 1423-1425 S. Main Street, is a 20th Century Standard Commercial style structure. Listed in the National Register of Historic Places in 8/5/1994, it was constructed in 1905 for C. J. Lincoln, a drug wholesaler.  This two story, brick building originally had a butcher shop on the first floor and three apartments on the second.  The classical influence that is seen detailed on this building makes it architecturally important.",1419  S Main,South Main Commercial Historic District,1910,POINT (-92.272820631229 34.734508927236),-92.27282063,34.73450893,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3519/PU3519.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3519/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3519/PU3519_ai.pdf
Curran Hall,Walters-Curran-Bell House/Visitor Information Ctr,"The Walter-Curran-Bell House, locally known as Curran Hall, at 615 E. Capitol Avenue is a Greek Revival style house. Listed in the National Register of Historic Places 1-1-76, it was constructed in 1842.  A central portico is covered with a low, hipped roof and supported by square Doric-capped columns. A low, hipped roof covers the brick house. Owned by the City of Little Rock, Curran Hall has been restored and a two-story wing connected to the house on the rear elevation was constructed in 2002.",615  E Capitol,Macarthur Park Historic District,1842,POINT (-92.264591754587 34.742827718426),-92.26459175,34.74282772,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2777/PU2777.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2777/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2777/PU2777_ai.pdf
Marshall House,,"The Marshall House, at 2009 Arch Street, is a Georgian Revival style and is considered to be the most monumental house in the area. Listed in the National Register of Historic Places in 12/22/1982, it was designed by architect Charles L. Thompson and constructed in 1908.  Roman pillars support a large portico on this two-story white house for both the front door and side French doors.  The house is complete with intricate crown molding and embellishments for an academically correct look.",2009  S Arch,Governor's Mansion Historic District,1908,POINT (-92.279543712656 34.729299823548),-92.27954371,34.72929982,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1483/PU1483.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1483/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1483/PU1483_ai.pdf
"Crittenton, Florence Home",,"The Florence Crittenton Home, at 3600 West 11th Street, is a Colonial Revival style house that was built to house unwed mothers. Listed in the National Register of Historic Places in 12/22/1982, it was designed by architects Thompson and Harding and constructed in 1917.   This two-story, red brick home is topped with a hipped roof.  It features a second floor balcony above the front entryway, supported by four white Tuscan columns.",3600  W 11th,,1917,POINT (-92.314022587034 34.741610831346),-92.31402259,34.74161083,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3165/PU3165.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3165/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3165/PU3165_ai.pdf
First Presbyterian Church,,"The First Presbyterian Church, located at 123 East 8th Street, is an Ecclesiastical and Gothic Revival style structure.  Listed in the National Register of Historic Places in 8-3-1984, it was designed by architects Charles L. Thomson and John Parks Almand and constructed in 1921.  Yellow brick and stone line the façade of the church building, while a massive arched portico and stained glass window decorate the front entrance. Intricate terra-cotta detailing is seen along the building to give the look of a Gothic cathedral.",123  E 8th,,1921,POINT (-92.270726106205 34.740905171284),-92.27072611,34.74090517,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0254/PU0254.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0254/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0254/PU0254_ai.pdf
Doe Branch Post Office,Doe Run Post Office,This property was listed on the National Register of Historic places on 1/29/2011.  This vernacular structure was erected in stage from 1890 through 1930.  Noah Richards is noted as the builder.  It served as his home as well as a US Post Office.,32100  Kanis Rd,,1890,POINT (-92.594150781513 34.787918076038),-92.59415078,34.78791808,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3216/PU3216.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3216/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3216/PU3216_ai.pdf
Hornibrook House,,"The Hornibrook House, at 2120 South Louisiana Street, is a Queen Anne Victorian style home. Listed in the National Register of Historic Places in 7/30/1974, it was built in 1888, after seven years of construction, by James H. Hornibrook.  This three-and-one-half story house is uniquely embellished from top to bottom with a large gabled tower to the small colored glass squares framing the windows.  A large porch wraps around the width of the house, lined with an intricately carved railing and trim.  Octagon shaped rooms and distinct roof elevations are featured within this one-of-a-kind house.",2120  S Louisiana,Governor's Mansion Historic District,1888,POINT (-92.275329483358 34.728015141707),-92.27532948,34.72801514,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1076/PU1076.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1076/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1076/PU1076_ai.pdf
"Little Rock, The",,"Little Rock’s The Little Rock, also known to the French as La Petite Rochelle, is located along the bank of the Arkansas River. Listed in the National Register of Historic Places in 10/6/1970, it was found by Jean-Baptiste Bernard de la Harpe in 1722.  It was first mentioned as “The Little Rocks” by John B. Treat in a letter describing the Louisiana Purchase and then in 1818 it was used as survey point to describe “Indian Lands”.  Formerly known as Arcopolis, The City of Little Rock was named after it.",The Little Rock,,0,POINT (-92.266401817994 34.749080975614),-92.26640182,34.74908098,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3159/PU3159.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3159/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3159/PU3159_ai.pdf
"Wassell, Dr Corydon House",,"The Corydon Wassell House, located at 2005 South Scott Street, is a Queen Anne/Eastlake style house. Listed in the National Register of Historic Places in 6/2/2000, it was constructed in 1882 and was home to Dr. Corydon M. Wassell, a highly decorated American War II hero and Arkansas native.  Dr. Wassell practiced medicine in China for many years, served in the Navy, and was the subject of a Paramount studios production directed by Cecil B. DeMille, “The Story of Dr. Wassell.”",2005  S Scott,,1880,POINT (-92.272187082178 34.729279664086),-92.27218708,34.72927966,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9935/PU9935.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9935/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9935/PU9935_ai.pdf
Donaghey Building,,"The Donaghey Building was constructed on the southeast comer of 7th and S. Main streets in 1925-1926.  The structure was listed on the National Register of Historic Places on 6/27/2012.  At 14-stories, the Donaghey Building was the tallest building in for over 30 years.  The building was constructed for George W. Donaghey, a well-known contractor who was governor of Arkansas from 1909-1930. The building was designed by New York architect Hunter McDonneIl.  The building is noted for its early ""Skyscraper"" form with Neo-Classical detailing on the upper two stories of the north and west elevations.",701  S Main,,1925,POINT (-92.271171394407 34.74189121314),-92.27117139,34.74189121,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0246/PU0246.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0246/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0246/PU0246_ai.pdf
Associated Reformed Presbyterian Church,Emmanuel Baptist Church,"The Associated Reformed Presbyterian Church, currently known as Emmanuel Baptist Church, at 3323 West 12th Street, is a Classical Revival style building. Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architect Charles L. Thompson and constructed in 1925.  This large red brick building is decorated with six large white columns that give the front entrance a symmetrical look.  The columns support the gabled roof of the portico.",3323  W 12th,,1925,POINT (-92.311430069671 34.739830122765),-92.31143007,34.73983012,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3221/PU3221.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3221/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3221/PU3221_ai.pdf
Miller House,,"The Miller House, located at 1853 South Ringo Street, is a Craftsman style home.  Listed in the National Register of Historic Places on 5/28/1999, it was constructed in 1906 for William Holman, but later became owned and remodeled by Arthur T. Miller.  This brick, two-story house was expanded and remodeled twice.  This house is significant in the fact it displays the segregation of the period:  people expanded their houses because they were prevented from moving wherever they could afford to move.",1853  S Ringo,Paul Laurence Dunbar School Neighborhood Historic District,1906,POINT (-92.285506163928 34.731737908697),-92.28550616,34.73173791,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9829/PU9829.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9829/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9829/PU9829_ai.pdf
"Hotze House, First",,"The First Hotze House, located at 1620 South Main Street, is a Late Victorian and Italianate that was the first house built by Peter Hotze, a native Austrian and prominent businessman, before his great success. Listed in the National Register of Historic Places in 9/20/2006, it was constructed in 1869 and the design plans were bought from architect M. H. Baldwin.  This small, one-story clapboard house features a shake roof that hangs over a small, but detailed porch surrounded by eight columns.",1620  S Main,South Main Commercial Historic District,1869,POINT (-92.27374434638 34.732758091473),-92.27374435,34.73275809,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3084/PU3084.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3084/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3084/PU3084_ai.pdf
"Memorial To Company A, Capitol Guards",,"The Memorial to Company A. Capitol Guards, located in MacArthur Park, is a bronze and granite statue.  Listed in the National Register of Historic Places in 5-15-1993, it was built by Rudolph Schwarz in 1911 and unveiled during the 16th annual reunion of the United Confederate Veterans.  The guards memorialized in this statue, were a part of the taking over of the Little Rock Arsenal and they were also soldiers who bravely fought in many of the civil war battles.  One individual in particular, General Robert C. Newton Camp of the Sons of Confederate Veterans, was honored in the creation of this statue.",9Th & Sherman,,0,POINT (-92.264980751037 34.738676126234),-92.26498075,34.73867613,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5234S/PU5234S.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5234S/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5234S/PU5234S_ai.pdf
Hall House,,"The Hall House, at 32 Edgehill Road is a Tudor Revival style home. Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architects Thompson, Sanders, and Ginocchio and constructed in 1928.  This large, two-story brick home features a large gable roof, French door, and enclosed porch.",32  Edgehill,,1928,POINT (-92.317447789461 34.768012030939),-92.31744779,34.76801203,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3211/PU3211.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3211/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3211/PU3211_ai.pdf
Bechle Apartment Building,,"Bechle Apartment Building, located at 1000 East Ninth Street, is a Colonial Revival style structure.  Listed in the National Register of Historic Places in 10/2/1978, it was designed by noted architect Charles L. Thompson and constructed in 1909.  The south porch was greatly modified after the 1999 tornado.",1000  E 9th,,1909,POINT (-92.260033474376 34.739684120238),-92.26003347,34.73968412,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3225/PU3225.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3225/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3225/PU3225_ai.pdf
Southern Trust Building,"Pyramid Building, Pyramid Place","The Southern Trust Building, located at 221 West 2nd Street, is a Classical Revival style structure. Listed in the National Register of Historic Places in 2-22-2013, it was designed by George R. Mann and constructed in 1907 by the Southern Construction Co.  This ten-story skyscraper, located in the “Wall Street of Little Rock” was the first skyscraper and, at the time, the tallest building in Arkansas.  This building is significant due to its modern look and fireproof nature at such an early time period.",223  W 2nd,,1907,POINT (-92.272743902745 34.74720729167),-92.2727439,34.74720729,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3547/PU3547.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3547/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3547/PU3547_ai.pdf
Climber Motor Car Factory - Unit A,,"The Climber Motor Car Factory, Unit A located at 1823 E. 17th St. and was built for the production of the Climber car in 1919. The factory was listed in the National Register of Historic Places on 06-01-2005. The Climber was the only auto mobile built in the state of Arkansas and was built between 1919 and 1924. The factory was the only multi-building complex completed for the purpose of producing the Climber car. Soon after the Climber Corporation closed down, Command Aire used the building to start building their aircraft.",1823  E 17th,,1918,POINT (-92.248760587138 34.729991583555),-92.24876059,34.72999158,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8173/PU8173.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8173/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8173/PU8173_ai.pdf
Healey & Roth Mortuary Building,,"Designed in 1925 by Sanders and Gincchio, the architectural style of Healey and Roth is influenced by the Second Renaissance Revival. The structure was listed on the National Register of Historic Places on 12/22/1982.  The building has a three-bay façade with several eclectic motifs. The entry way uses cast stone architrave to surround its perimeter, topped by a segmental arch pediment. Constructed to serve as a mortuary, Healey and Roth is scenic and brings significance to Little Rock’s downtown streetscape.",815  S Main,,1924,POINT (-92.271537586599 34.740669945179),-92.27153759,34.74066995,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0257/PU0257.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0257/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0257/PU0257_ai.pdf
Mount Holly Mausoleum,,"The Mount Holly Mausoleum was designed in 1917. It is located within Mount Holly Cemetery. The architectural style is Greek Revival.  Constructed of limestone, the building is composed of a central entrance block flanked by two smaller side wings. Mount Holly Mausoleum is said to be one of the more ""high style"" designs by the Thompson and Harding firm.  The structure was listed on the National Register of Historic Places on 12/22/1982.",1208  S Broadway,,1917,POINT (-92.279086431635 34.738990303557),-92.27908643,34.7389903,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1346/PU1346.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1346/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1346/PU1346_ai.pdf
"Stewart, W. R., House",House At 1406 S Summit Street,"The Stewart House, at 1406 Summit is a Colonial Revival style. Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architect Charles L. Thompson.  This weatherboard lined house has a hipped roof with a projecting gable and dormer.  It is detailed with intricate wooden columns around the porch and molding.",1406  S Summit,Central High School Neighborhood Historic District,1890,POINT (-92.295638879737 34.737349449019),-92.29563888,34.73734945,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3087/PU3087.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3087/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3087/PU3087_ai.pdf
Fones House,,"The Fones House, located at 902 West Second Street, is a Victorian Italianate style house built for Daniel G. Fones, a prominent financial leader. Listed in the National Register of Historic Places 8/19/1975, it was constructed in 1878.  This red brick, two and one-half story house, is elegantly detailed with several balconies, ornate window décor, and the wrought iron on top of the gabled roof.",902  W 2nd,,1878,POINT (-92.280263684982 34.748700709044),-92.28026368,34.74870071,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3121/PU3121.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3121/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3121/PU3121_ai.pdf
